name,total_downloads,latest_release,has_attestation
timecop,2759010,2024-06-14 19:38:40.723406,False
notiffany,2753791,2019-08-01 06:57:38.618849,False
dry-schema,2753623,2025-03-03 08:43:21.417356,False
ice_nine,2741139,2016-01-29 20:08:26.83549,False
rubocop-rspec_rails,2738190,2025-03-10 08:54:20.360766,True
sassc,2727042,2020-06-02 13:16:18.926952,False
opentelemetry-semantic_conventions,2709379,2025-02-25 21:55:42.272162,False
opentelemetry-common,2706853,2025-02-25 21:54:50.259216,False
json-schema,2697614,2024-12-02 11:40:03.825547,False
guard-compat,2694884,2015-01-14 16:26:07.661155,False
rack-proxy,2690426,2023-09-01 06:23:24.231567,False
opentelemetry-registry,2674286,2025-02-25 21:54:30.62452,False
xcpretty,2666954,2024-10-22 13:14:09.452646,False
danger,2666831,2024-10-19 08:21:25.417488,False
open4,2664677,2014-05-15 05:57:24.703852,False
fog-core,2660157,2024-10-25 11:08:54.56857,False
browser,2650300,2024-12-04 18:30:41.391487,False
haml,2643946,2023-12-10 07:18:47.082682,False
aws-sdk-dynamodb,2634804,2025-03-13 19:00:32.890184,False
childprocess,2614984,2024-08-06 06:35:39.691113,False
fog-xml,2611101,2024-12-30 14:52:38.790249,False
rack-attack,2597494,2023-07-26 04:39:50.260729,False
rspec-retry,2590709,2019-11-21 11:42:19.221793,False
bindata,2583483,2024-02-16 08:44:35.754334,False
aws-sdk-ecr,2582105,2025-03-11 19:30:11.181397,False
memoist,2579658,2019-12-04 21:48:11.382888,False
fog-json,2578759,2018-06-22 08:28:45.42429,False
commander,2572190,2024-01-15 23:30:34.262439,False
diffy,2567733,2024-10-21 16:27:58.59646,False
guard-rspec,2555196,2016-07-29 16:55:21.995925,False
rqrcode,2531364,2023-05-17 09:26:15.840077,False
spring-commands-rspec,2530877,2014-12-13 19:51:13.787101,False
cork,2519228,2017-04-11 17:19:36.126879,False
claide-plugins,2514815,2016-10-02 09:10:38.169977,False
net-sftp,2512778,2022-11-01 13:50:36.208775,False
rails-i18n,2493074,2024-11-10 03:59:21.392646,False
opensearch-ruby,2481340,2025-03-06 16:31:21.856125,False
strscan,2478122,2024-12-15 02:09:39.744838,False
faraday_middleware-aws-sigv4,2471229,2022-10-01 06:15:22.660306,False
ssrf_filter,2464059,2024-11-08 03:25:50.723573,False
faraday-follow_redirects,2447915,2022-04-02 14:45:18.452277,False
atomos,2446937,2025-02-28 10:24:25.383453,True
countries,2442621,2025-02-08 18:15:39.393013,False
elasticsearch-transport,2440066,2024-06-03 17:41:25.159252,False
graphql-client,2439584,2024-12-12 19:28:52.527691,False
commonmarker,2438454,2025-03-11 12:32:46.425993,False
oauth,2428051,2022-08-29 22:53:21.249299,False
gh_inspector,2422814,2018-03-06 18:24:35.786024,False
ruby-saml,2415458,2025-03-12 19:55:37.004484,False
aws-sdk-secretsmanager,2387646,2025-02-18 21:17:24.610206,False
jquery-rails,2382627,2023-06-26 21:56:44.355374,False
capybara-screenshot,2382618,2022-01-12 18:56:51.130271,False
strings-ansi,2379494,2019-11-12 21:51:45.152895,False
simpleidn,2375264,2024-05-22 08:31:21.246718,False
parallel_tests,2373873,2025-03-09 18:40:58.639,False
optimist,2367864,2024-11-11 22:33:15.686997,False
rqrcode_core,2353398,2021-08-26 09:15:48.632846,False
sassc-rails,2345252,2019-06-18 13:16:31.243519,False
premailer,2339516,2024-08-26 16:26:40.986785,False
dry-validation,2333063,2025-01-21 11:43:42.972273,False
security,2324224,2021-03-25 08:29:05.107913,False
get_process_mem,2311600,2024-07-22 20:43:53.456521,False
strings,2310904,2021-03-09 22:23:11.887352,False
gapic-common,2306435,2025-01-22 20:59:18.034533,False
openssl,2301791,2024-12-21 17:36:29.785197,True
aws-sdk-kinesis,2290475,2025-02-18 20:48:34.581045,False
jsonpath,2289383,2023-10-12 08:12:56.983789,False
dogstatsd-ruby,2270977,2025-02-03 18:34:17.895591,False
rack-timeout,2270625,2024-05-20 18:48:58.785635,False
ttfunk,2270573,2024-03-05 10:08:07.61289,False
sanitize,2268760,2024-12-30 05:00:35.019483,False
aws-sdk-ssm,2265108,2025-02-28 20:10:59.860985,False
aws-sdk-cloudformation,2256241,2025-03-04 20:11:56.123877,False
ruby-vips,2248378,2025-02-06 15:33:47.347826,False
unparser,2247564,2025-03-16 05:35:56.357896,False
googleapis-common-protos,2245582,2024-06-11 23:35:21.792143,False
fog-aws,2238031,2024-12-17 14:47:20.331277,False
tty-command,2236042,2021-02-14 17:30:46.367883,False
descendants_tracker,2231542,2014-03-27 05:23:55.780128,False
sentry-sidekiq,2227912,2025-03-11 13:01:40.354379,False
tins,2226152,2025-01-07 00:11:18.044201,False
artifactory,2222748,2024-03-04 15:13:24.475892,False
faraday-cookie_jar,2197458,2020-09-02 03:28:09.304384,False
fiber-storage,2197013,2024-08-08 12:06:43.552603,False
premailer-rails,2188215,2022-11-10 06:11:30.287919,False
coercible,2181741,2013-12-10 11:06:41.571053,False
activerecord-import,2179903,2025-02-03 18:29:33.747735,False
carrierwave,2177004,2025-01-12 09:38:48.208102,False
flipper,2171673,2025-03-03 19:08:03.738962,False
json-jwt,2156914,2024-10-15 16:08:31.401277,False
doorkeeper,2155907,2024-12-09 07:51:26.180715,False
turbo-rails,2152787,2025-03-03 13:12:22.139784,False
memory_profiler,2146082,2024-09-17 05:32:47.295955,False
image_processing,2142334,2025-02-10 21:47:33.368075,False
omniauth-google-oauth2,2136793,2025-01-19 01:40:38.580356,False
virtus,2132480,2021-06-07 13:34:28.303779,False
aes_key_wrap,2128564,2020-07-11 15:11:47.455995,False
google-apis-playcustomapp_v1,2121257,2024-05-26 11:50:03.703057,False
axiom-types,2119534,2014-03-27 06:29:33.554103,False
colored,2109267,2010-02-10 18:16:23.759888,False
ice_cube,2106063,2024-07-18 22:42:24.81923,False
recaptcha,2096034,2025-01-14 17:28:23.75511,False
xml-simple,2085150,2021-09-06 15:24:51.256661,False
terminal-notifier,2077396,2017-11-01 16:32:28.087473,False
sync,2064213,2018-12-04 13:39:37.24802,False
mysql2,2057676,2024-02-08 22:34:01.589606,False
prism,2051226,2024-12-21 19:31:39.474422,False
emoji_regex,2049293,2023-04-05 04:08:14.867718,False
reverse_markdown,2039989,2024-10-29 11:43:00.663324,False
opentelemetry-exporter-otlp,2039275,2025-02-25 21:55:10.420366,False
encryptor,2029426,2016-03-27 01:45:07.326377,False
proc_to_ast,2027774,2024-05-04 12:32:44.144331,False
libddwaf,2026297,2025-02-20 15:25:34.569747,False
grpc-google-iam-v1,2022455,2025-01-14 17:29:35.116648,False
libdatadog,2021349,2025-02-10 10:22:18.118595,False
redis-store,2013934,2024-08-09 02:11:09.295017,False
warning,2008629,2024-12-18 16:58:29.668532,False
simctl,2008272,2023-01-26 14:52:17.713587,False
naturally,2005736,2021-01-18 00:45:44.64933,False
ipaddress,2003761,2016-02-17 13:52:01.167853,False
terser,1990172,2025-01-20 11:13:03.720469,False
rspec-parameterized,1989405,2024-04-28 00:44:58.694269,False
rspec-parameterized-core,1986458,2024-05-04 13:10:59.587055,False
simplecov-cobertura,1982482,2021-12-14 22:46:47.111356,False
bcrypt_pbkdf,1981308,2024-05-20 05:34:48.635426,False
word_wrap,1974616,2015-04-22 06:27:00.602538,False
rspec-parameterized-table_syntax,1961683,2023-09-26 05:50:06.52583,False
tomlrb,1959704,2022-05-28 12:09:41.420111,False
safe_yaml,1957417,2019-02-22 19:10:49.376751,False
toml-rb,1956409,2025-03-12 00:29:52.181818,False
xcpretty-travis-formatter,1956289,2021-01-01 14:17:42.865274,False
citrus,1955666,2015-02-19 13:42:38.644257,False
state_machines,1945040,2023-06-30 16:51:52.979353,False
cocoapods,1937448,2024-10-31 18:15:15.185876,False
vcr,1936821,2024-08-20 09:17:19.419568,False
twilio-ruby,1934425,2025-03-11 12:53:20.155407,False
fluent-plugin-kubernetes_metadata_filter,1932923,2025-01-27 20:11:02.721202,False
sass-rails,1931408,2019-08-16 23:19:51.158458,False
rubyntlm,1924807,2024-06-12 17:45:15.968638,False
validate_url,1916615,2022-05-13 06:01:33.662854,False
aws-sdk-sns,1916088,2025-03-04 20:11:56.142998,False
sidekiq-cron,1914483,2025-01-20 09:07:26.203392,False
redis-rack,1910241,2023-12-04 22:42:12.035822,False
redis-actionpack,1899820,2024-11-10 22:00:22.836111,False
async,1899534,2025-03-10 00:09:03.708389,False
opentelemetry-instrumentation-net_http,1893207,2025-01-16 05:49:45.841762,False
test-prof,1892001,2025-01-03 19:19:06.393522,False
grpc-tools,1871834,2025-03-10 17:43:55.288875,False
yajl-ruby,1870138,2022-05-26 18:26:57.622898,False
opentelemetry-instrumentation-base,1866636,2025-01-16 06:05:17.624462,False
